ID	MVH_search_cc_1	MVH_search_cc_2	MVH_search_cc_3	MVH_search_cc_1_lp	MVH_search_cc_2_lp	MVH_search_cc_3_lp	MVH_search_cc_1_lp_nwords	MVH_search_cc_2_lp_nwords	MVH_search_cc_3_lp_nwords	im_nwords_min	im_nwords_max	im_nwords_mean	MVH_search_cc_1_lp_len	MVH_search_cc_2_lp_len	MVH_search_cc_3_lp_len	im_len_min	im_len_max	im_len_mean	total	base_lft	base_gender	base_opl	base_regio	base_polar	base_intpol	MVH_att_cc_1	MVH_att_cc_2	MVH_att_importance_2	att_cc_mean	opl_3cat	ACTIVISME_1	CO2_1	Comments_1	DISCUSSIE_1	EFFECTIEF_1	ENERGIE_1	GELDIG_1	GEVOLG_1	INDIVIDUEEL_GEDRAG_1	INDUSTRIE_1	INFO_OPLOSSINGEN_1	INFO_STATUS_QUO_1	MILIEU_1	ONGECATEGORISEERD_1	OORZAKEN_1	POLITIEK_BELEID_1	SCEPTICI_1	SCEPTICI_PERSONEN_1	SPECIFIEK_1	STIKSTOF_1	TAAL_1	VERVOER_1	VOEDSELINDUSTRIE_1	VRAAG_1	search query_1	ACTIVISME_2	CO2_2	Comments_2	DISCUSSIE_2	EFFECTIEF_2	ENERGIE_2	GELDIG_2	GEVOLG_2	INDIVIDUEEL_GEDRAG_2	INDUSTRIE_2	INFO_OPLOSSINGEN_2	INFO_STATUS_QUO_2	MILIEU_2	ONGECATEGORISEERD_2	OORZAKEN_2	POLITIEK_BELEID_2	SCEPTICI_2	SCEPTICI_PERSONEN_2	SPECIFIEK_2	STIKSTOF_2	TAAL_2	VERVOER_2	VOEDSELINDUSTRIE_2	VRAAG_2	search query_2	ACTIVISME_3	CO2_3	Comments_3	DISCUSSIE_3	EFFECTIEF_3	ENERGIE_3	GELDIG_3	GEVOLG_3	INDIVIDUEEL_GEDRAG_3	INDUSTRIE_3	INFO_OPLOSSINGEN_3	INFO_STATUS_QUO_3	MILIEU_3	ONGECATEGORISEERD_3	OORZAKEN_3	POLITIEK_BELEID_3	SCEPTICI_3	SCEPTICI_PERSONEN_3	SPECIFIEK_3	STIKSTOF_3	TAAL_3	VERVOER_3	VOEDSELINDUSTRIE_3	VRAAG_3	search query_3	total_valid	ACTIVISME	CO2	DISCUSSIE	EFFECTIEF	ENERGIE	GELDIG	GEVOLG	INDIVIDUEEL_GEDRAG	INDUSTRIE	INFO_OPLOSSINGEN	INFO_STATUS_QUO	MILIEU	ONGECATEGORISEERD	OORZAKEN	POLITIEK_BELEID	SCEPTICI	SCEPTICI_PERSONEN	SPECIFIEK	STIKSTOF	TAAL	VERVOER	VOEDSELINDUSTRIE	VRAAG
2	klimaat	klimaatverandering	wereldwijd klimaat	klimaat	klimaatverandering	wereldwijd klimaat	1	1	2	1	2	1.3333333333333333	7	18	18	7	18	14.333333333333334	klimaat klimaatverandering wereldwijd klimaat	18	2	3	5	7.0		3	5	2	4.0	2					1.0		1.0												0.0		0.0			0.0	klimaat					1.0		1.0												0.0		0.0			0.0	klimaatverandering					1.0		1.0												0.0		0.0			0.0	wereldwijd klimaat	3.0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Climate change	What causes the global warming?	Klimaatverandering	climate change	what causes the global warming	klimaatverandering	2	5	1	1	5	2.6666666666666665	14	30	18	14	30	20.666666666666668	climate change what causes the global warming klimaatverandering	19	2	5	2	4.0	6.0	6	5	4	5.5	2					1.0		1.0												0.0		1.0			0.0	climate change	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	what causes the global warming					1.0		1.0												0.0		0.0			0.0	klimaatverandering	3.0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1
4	Global warming	C02	Greenhouse gases	global warming	c02	greenhouse gases	2	1	2	1	2	1.6666666666666667	14	3	16	3	16	11.0	global warming c02 greenhouse gases	43	2	5	12	5.0	5.0	6	5	3	5.5	2	0.0	0.0		0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	global warming	0.0	1.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	c02	0.0	0.0		0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	greenhouse gases	3.0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
5	klimaatbeleid Nederland	CO2 uitstoot	Klimaat	klimaatbeleid nederland	co2 uitstoot	klimaat	2	2	1	1	2	1.6666666666666667	23	12	7	7	23	14.0	klimaatbeleid nederland co2 uitstoot klimaat	67	2	3	12	2.0	7.0	6	5	4	5.5	2	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaatbeleid nederland	0.0	1.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	co2 uitstoot					1.0		1.0												0.0		0.0			0.0	klimaat	3.0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
6	Uitstoot China	Co2	Uitstoot Verenigde Staten	uitstoot china	co2	uitstoot verenigde staten	2	1	3	1	3	2.0	14	3	25	3	25	14.0	uitstoot china co2 uitstoot verenigde staten	41	1	6	3	6.0	6.0	3	3	2	3.0	3	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	uitstoot china	0.0	1.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	co2	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	uitstoot verenigde staten	3.0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
7	co2	klimaat	opwarming	co2	klimaat	opwarming	1	1	1	1	1	1.0	3	7	9	3	9	6.333333333333333	co2 klimaat opwarming	65	1	6	9	1.0	7.0	6	5	4	5.5	3	0.0	1.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	co2					1.0		1.0												0.0		0.0			0.0	klimaat	0.0	0.0		0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	opwarming	3.0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
8	Co 2 uitstoot	Meer bomen	Grote fabrieken	co 2 uitstoot	meer bomen	grote fabrieken	3	2	2	2	3	2.3333333333333335	13	10	15	10	15	12.666666666666666	co 2 uitstoot meer bomen grote fabrieken	64	2	4	9	6.0	6.0	3	4	3	3.5	2	0.0	1.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	co 2 uitstoot	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	meer bomen	0.0	0.0		0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	grote fabrieken	3.0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
9	Energietransitir	Verduurzamen woning	Klimaatakkoord	energietransitir	verduurzamen woning	klimaatakkoord	1	2	1	1	2	1.3333333333333333	16	19	14	14	19	16.333333333333332	energietransitir verduurzamen woning klimaatakkoord	23	2	6	2	5.0	2.0	6	5	5	5.5	3	0.0	0.0		0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	energietransitir	0.0	0.0		0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	verduurzamen woning	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaatakkoord	3.0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
10	Wat kan ik doen tegen klimaat veranderingen	Co2 reductie	Afval scheiden	wat kan ik doen tegen klimaat veranderingen	co2 reductie	afval scheiden	7	2	2	2	7	3.6666666666666665	43	12	14	12	43	23.0	wat kan ik doen tegen klimaat veranderingen co2 reductie afval scheiden	35	1	4	4	7.0	5.0	6	4	5	5.0	2	0.0	0.0		0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	wat kan ik doen tegen klimaat veranderingen	0.0	1.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	co2 reductie	0.0	0.0		0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	afval scheiden	3.0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1
11	klimaat ontwikkeling	toekomst verwachting	gevolgen voor nederlaand	klimaat ontwikkeling	toekomst verwachting	gevolgen voor nederlaand	2	2	3	2	3	2.3333333333333335	20	20	24	20	24	21.333333333333332	klimaat ontwikkeling toekomst verwachting gevolgen voor nederlaand	67	1	4	9	4.0	4.0	6	5	4	5.5	2	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaat ontwikkeling	0.0	0.0		0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	toekomst verwachting	0.0	0.0		0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	gevolgen voor nederlaand	3.0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
12	klimaat	klimaat verandering	klimaat aanpak	klimaat	klimaat verandering	klimaat aanpak	1	2	2	1	2	1.6666666666666667	7	19	14	7	19	13.333333333333334	klimaat klimaat verandering klimaat aanpak	51	2	6	8	5.0	5.0	7	6	5	6.5	3					1.0		1.0												0.0		0.0			0.0	klimaat					1.0		1.0												0.0		0.0			0.0	klimaat verandering	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaat aanpak	3.0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
13	climate change activism	climate change stats	climate change attenborough	climate change activism	climate change stats	climate change attenborough	3	3	3	3	3	3.0	23	20	27	20	27	23.333333333333332	climate change activism climate change stats climate change attenborough	24	2	7	8	1.0	7.0	7	7	5	7.0	3	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	climate change activism	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	climate change stats	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	climate change attenborough	3.0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0
14	Klimaat 2020	Politieke mening klimaat	Klimaatverandering	klimaat 2020	politieke mening klimaat	klimaatverandering	2	3	1	1	3	2.0	12	24	18	12	24	18.0	klimaat 2020 politieke mening klimaat klimaatverandering	20	2	4	6	5.0	6.0	5	4	3	4.5	2	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	klimaat 2020	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	politieke mening klimaat					1.0		1.0												0.0		0.0			0.0	klimaatverandering	3.0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
15	Klimaat	Verandering	Gevaar	klimaat	verandering	gevaar	1	1	1	1	1	1.0	7	11	6	6	11	8.0	klimaat verandering gevaar	26	2	4	11		0.0	6	5	4	5.5	2					1.0		1.0												0.0		0.0			0.0	klimaat					0.0		1.0												0.0		0.0			0.0	verandering	0.0	0.0		0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	gevaar	3.0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
17	Bewijzen klimaatverandering	Cijfers klimaatverandering	Wat doen tegen klimaatverandering	bewijzen klimaatverandering	cijfers klimaatverandering	wat doen tegen klimaatverandering	2	2	4	2	4	2.6666666666666665	27	26	33	26	33	28.666666666666668	bewijzen klimaatverandering cijfers klimaatverandering wat doen tegen klimaatverandering	64	2	6	4	2.0	5.0	6	6	5	6.0	3	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	bewijzen klimaatverandering	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	cijfers klimaatverandering	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	wat doen tegen klimaatverandering	3.0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	1
