ID,im_nwords_min,im_nwords_max,im_nwords_mean,im_len_min,im_len_max,im_len_mean,total,base_lft,base_gender,base_opl,base_regio,base_polar,base_intpol,MVH_att_cc_1,MVH_att_cc_2,MVH_att_importance_2,att_cc_mean,opl_3cat,search query_1,search query_2,search query_3,total_valid,total_specific,edu_low,edu_mid,edu_high,base_gender2
3,1,5,2.6666666666666665,14,30,20.666666666666668,climate change what causes the global warming klimaatverandering,19,2,5,2,4.0,6.0,6,5,4,5.5,2,climate change,what causes the global warming,klimaatverandering,3.0,1.0,0,1,0,0
4,1,2,1.6666666666666667,3,16,11.0,global warming c02 greenhouse gases,43,2,5,12,5.0,5.0,6,5,3,5.5,2,global warming,c02,greenhouse gases,3.0,3.0,0,1,0,0
5,1,2,1.6666666666666667,7,23,14.0,klimaatbeleid nederland co2 uitstoot klimaat,67,2,3,12,2.0,7.0,6,5,4,5.5,2,klimaatbeleid nederland,co2 uitstoot,klimaat,3.0,2.0,0,1,0,0
6,1,3,2.0,3,25,14.0,uitstoot china co2 uitstoot verenigde staten,41,1,6,3,6.0,6.0,3,3,2,3.0,3,uitstoot china,co2,uitstoot verenigde staten,3.0,3.0,0,0,1,1
7,1,1,1.0,3,9,6.333333333333333,co2 klimaat opwarming,65,1,6,9,1.0,7.0,6,5,4,5.5,3,co2,klimaat,opwarming,3.0,2.0,0,0,1,1
8,2,3,2.3333333333333335,10,15,12.666666666666666,co 2 uitstoot meer bomen grote fabrieken,64,2,4,9,6.0,6.0,3,4,3,3.5,2,co 2 uitstoot,meer bomen,grote fabrieken,3.0,3.0,0,1,0,0
9,1,2,1.3333333333333333,14,19,16.333333333333332,energietransitir verduurzamen woning klimaatakkoord,23,2,6,2,5.0,2.0,6,5,5,5.5,3,energietransitir,verduurzamen woning,klimaatakkoord,3.0,3.0,0,0,1,0
10,2,7,3.6666666666666665,12,43,23.0,wat kan ik doen tegen klimaat veranderingen co2 reductie afval scheiden,35,1,4,4,7.0,5.0,6,4,5,5.0,2,wat kan ik doen tegen klimaat veranderingen,co2 reductie,afval scheiden,3.0,3.0,0,1,0,1
11,2,3,2.3333333333333335,20,24,21.333333333333332,klimaat ontwikkeling toekomst verwachting gevolgen voor nederlaand,67,1,4,9,4.0,4.0,6,5,4,5.5,2,klimaat ontwikkeling,toekomst verwachting,gevolgen voor nederlaand,3.0,3.0,0,1,0,1
12,1,2,1.6666666666666667,7,19,13.333333333333334,klimaat klimaat verandering klimaat aanpak,51,2,6,8,5.0,5.0,7,6,5,6.5,3,klimaat,klimaat verandering,klimaat aanpak,3.0,1.0,0,0,1,0
