ID	MVH_search_im_1	MVH_search_im_2	MVH_search_im_3	MVH_search_im_1_lp	MVH_search_im_2_lp	MVH_search_im_3_lp	MVH_search_im_1_lp_ex	MVH_search_im_2_lp_ex	MVH_search_im_3_lp_ex	MVH_search_im_1_lp_nwords	MVH_search_im_2_lp_nwords	MVH_search_im_3_lp_nwords	im_nwords_min	im_nwords_max	im_nwords_mean	MVH_search_im_1_lp_len	MVH_search_im_2_lp_len	MVH_search_im_3_lp_len	im_len_min	im_len_max	im_len_mean	total	immigrant	buitenlander	gelukszoeker	statushouder	allochtoon	vluchteling	expat	asielzoeker	immigrant_1	buitenlander_1	gelukszoeker_1	statushouder_1	allochtoon_1	vluchteling_1	expat_1	asielzoeker_1	immigrant_3	buitenlander_3	gelukszoeker_3	statushouder_3	allochtoon_3	vluchteling_3	expat_3	asielzoeker_3	base_lft	base_gender	base_opl	base_regio	base_polar	base_intpol	base_voteTK2017	base_voteTK2017_14_TEXT	MVH_att_im_1	MVH_att_im_2	MVH_att_im_3	MVH_att_importance_1	VVD	PVV	CDA	D66	GroenLinks	SP	PvdA	ChristenUnie	PvdD	50Plus	SGP	DENK	FvD	Andere_partij	Blank	I_do_not_know_yet	I_do_not_want_to_say	base_voteInt_18	base_voteInt_14_TEXT	att_im_mean	sum_parties	opl_3cat	ADMISSION_1	AZC_1	CAUSES_1	CRIME_1	CULTURE_RELIGION_1	Comments_1	DEBATE_1	ECONOMY_1	EFFECTIVE_1	FINANCIAL_SUPPORT_1	HOUSING_1	INTEGRATION_1	LANGUAGE_1	NEWS_1	ORIGIN_1	POLITICS_1	PROBLEMS_1	QUESTION_1	RACISM_1	SPECIFIC_1	STATISTICS_1	VALID_1	search query_1	ADMISSION_2	AZC_2	CAUSES_2	CRIME_2	CULTURE_RELIGION_2	Comments_2	DEBATE_2	ECONOMY_2	EFFECTIVE_2	FINANCIAL_SUPPORT_2	HOUSING_2	INTEGRATION_2	LANGUAGE_2	NEWS_2	ORIGIN_2	POLITICS_2	PROBLEMS_2	QUESTION_2	RACISM_2	SPECIFIC_2	STATISTICS_2	VALID_2	search query_2	ADMISSION_3	AZC_3	CAUSES_3	CRIME_3	CULTURE_RELIGION_3	Comments_3	DEBATE_3	ECONOMY_3	EFFECTIVE_3	FINANCIAL_SUPPORT_3	HOUSING_3	INTEGRATION_3	LANGUAGE_3	NEWS_3	ORIGIN_3	POLITICS_3	PROBLEMS_3	QUESTION_3	RACISM_3	SPECIFIC_3	STATISTICS_3	VALID_3	search query_3	total_valid	ADMISSION	AZC	CAUSES	CRIME	CULTURE_RELIGION	DEBATE	ECONOMY	EFFECTIVE	FINANCIAL_SUPPORT	HOUSING	INTEGRATION	LANGUAGE	NEWS	ORIGIN	POLITICS	PROBLEMS	QUESTION	RACISM	SPECIFIC	STATISTICS	VALID
1	data criminaliteit allochtonen	immigratie data	criminaliteit demografie	data criminaliteit allochtonen	immigratie data	criminaliteit demografie	data criminaliteit allochtonen	immigratie data	criminaliteit demografie	3	2	2	2	3	2.3333333333333335	30	15	24	15	30	23.0	data criminaliteit allochtonen immigratie data criminaliteit demografie	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	36	1	6	4	7.0	5.0	1		1	3	1	5	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			1.6666666666666667	2.0	3	0.0	0.0	0.0	1.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	data criminaliteit allochtonen	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	immigratie data	0.0	0.0	0.0	1.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	criminaliteit demografie	3.0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1
2	asielzoekers	alochtonen	asielzoekerscentrum	asielzoekers	alochtonen	asielzoekerscentrum	asielzoekers	alochtonen	asielzoekerscentrum	1	1	1	1	1	1.0	12	10	19	10	19	13.666666666666666	asielzoekers alochtonen asielzoekerscentrum	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	18	2	3	5	7.0		16		3	5	3	2	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			3.6666666666666665	3.0	2									1.0				0.0					0.0		0.0		1.0	asielzoekers									1.0				0.0					0.0		0.0		1.0	alochtonen	0.0	1.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	asielzoekerscentrum	3.0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
3	Immigranten in Nederland laatste 5 jaar CBS	Reden van vluchten immigranten	Refugees in Europe	immigranten in nederland laatste 5 jaar cbs	reden van vluchten immigranten	refugees in europe	immigranten in nederland laatste 5 jaar cbs	reden van vluchten immigranten	refugees in europe	7	4	3	3	7	4.666666666666667	43	30	18	18	43	30.333333333333332	immigranten in nederland laatste 5 jaar cbs reden van vluchten immigranten refugees in europe	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	2	5	2	4.0	6.0	16		4	4	6	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			4.666666666666667	0.0	2	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	immigranten in nederland laatste 5 jaar cbs	0.0	0.0	1.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	reden van vluchten immigranten	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	refugees in europe	3.0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1
5	reintegratie vluchtelingen	asielzoekers Nederland	vluchtelingen	reintegratie vluchtelingen	asielzoekers nederland	vluchtelingen	reintegratie vluchtelingen	asielzoekers nederland	vluchtelingen	2	2	1	1	2	1.6666666666666667	26	22	13	13	26	20.333333333333332	reintegratie vluchtelingen asielzoekers nederland vluchtelingen	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	67	2	3	12	2.0	7.0	7		4	5	4	3	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			4.333333333333333	1.0	2	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	reintegratie vluchtelingen									1.0				0.0					0.0		0.0		1.0	asielzoekers nederland									1.0				0.0					0.0		0.0		1.0	vluchtelingen	3.0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1
6	Immigratiebeleid	Asielzoekers	Ama	immigratiebeleid	asielzoekers	ama	immigratiebeleid	asielzoekers	ama	1	1	1	1	1	1.0	16	12	3	3	16	10.333333333333334	immigratiebeleid asielzoekers ama	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	1	6	3	6.0	6.0	1		3	3	3	4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			3.0	1.0	3	1.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	immigratiebeleid									1.0				0.0					0.0		0.0		1.0	asielzoekers	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	ama	3.0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
7	integratie	vluchteling	asielzoekers	integratie	vluchteling	asielzoekers	integratie	vluchteling	asielzoekers	1	1	1	1	1	1.0	10	11	12	10	12	11.0	integratie vluchteling asielzoekers	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	65	1	6	9	1.0	7.0	6		5	6	6	2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			5.666666666666667	1.0	3	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	integratie									1.0				0.0					0.0		0.0		1.0	vluchteling									1.0				0.0					0.0		0.0		1.0	asielzoekers	3.0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1
8	Asielzoekers	Huisvesting buitenlanders	Inburgering	asielzoekers	huisvesting buitenlanders	inburgering	asielzoekers	huisvesting buitenlanders	inburgering	1	2	1	1	2	1.3333333333333333	12	25	11	11	25	16.0	asielzoekers huisvesting buitenlanders inburgering	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	64	2	4	9	6.0	6.0	3		3	3	3	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			3.0	1.0	2									1.0				0.0					0.0		0.0		1.0	asielzoekers	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	huisvesting buitenlanders	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	inburgering	3.0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1
9	Vluchtelingen in ned	Expats in ned	Asielzoekers in ned	vluchtelingen in ned	expats in ned	asielzoekers in ned	vluchtelingen in ned	expats in ned	asielzoekers in ned	3	3	3	3	3	3.0	20	13	19	13	20	17.333333333333332	vluchtelingen in ned expats in ned asielzoekers in ned	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	23	2	6	2	5.0	2.0	1		4	4	4	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			4.0	0.0	3									1.0				0.0					0.0		0.0		1.0	vluchtelingen in ned									1.0				0.0					0.0		0.0		1.0	expats in ned									1.0				0.0					0.0		0.0		1.0	asielzoekers in ned	3.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
10	Immigranten	In burgeringscursus	Buitenlanders	immigranten	in burgeringscursus	buitenlanders	immigranten	in burgeringscursus	buitenlanders	1	2	1	1	2	1.3333333333333333	11	19	13	11	19	14.333333333333334	immigranten in burgeringscursus buitenlanders	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	35	1	4	4	7.0	5.0	3		5	4	2	3	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			3.6666666666666665	2.0	2									1.0				0.0					0.0		0.0		1.0	immigranten	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	in burgeringscursus									1.0				0.0					0.0		0.0		1.0	buitenlanders	3.0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1
11	migranten	hoe kunnen wij dit oplossen	mensen laten waar ze zijn er daar helpen	migranten	hoe kunnen wij dit oplossen	mensen laten waar ze zijn er daar helpen	migranten	hoe kunnen wij dit oplossen	mensen laten waar ze zijn er daar helpen	1	5	8	1	8	4.666666666666667	9	27	40	9	40	25.333333333333332	migranten hoe kunnen wij dit oplossen mensen laten waar ze zijn er daar helpen	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	1	4	9	4.0	4.0	1		3	3	2	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0			2.6666666666666665	0.0	2									1.0				0.0					0.0		0.0		1.0	migranten	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	hoe kunnen wij dit oplossen	0.0	0.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	mensen laten waar ze zijn er daar helpen	3.0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1
